Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Algeria,DZA,1982,0,0,0,479
Algeria,DZA,1983,0,0,0,235
Algeria,DZA,1984,0,0,0,452
Algeria,DZA,1985,0,0,0,646
Algeria,DZA,1986,0,0,0,0.25
Algeria,DZA,1987,0,0,0,499
Algeria,DZA,1988,0,0,0,183
Algeria,DZA,1989,0,0,0,226
Algeria,DZA,1990,0,0,0,135
Algeria,DZA,1991,0,0,0,293
Algeria,DZA,1992,0,0,0,199
Algeria,DZA,1993,0,0,0,353
Algeria,DZA,1994,0,0,0,166
Algeria,DZA,1995,0,0,0,193
Algeria,DZA,1996,0,0,0,135
Algeria,DZA,1997,0,0,0,75
Algeria,DZA,1998,0,0,0,215
Algeria,DZA,1999,0,0,0,203
Algeria,DZA,2000,0,0,0,54
Algeria,DZA,2001,0,0,0,69
Algeria,DZA,2002,0,0,0,57
Algeria,DZA,2003,0,0,0,265
Algeria,DZA,2004,0,0,0,251
Algeria,DZA,2005,0,0,0,5.553
Algeria,DZA,2006,0,0,0,2.176
Algeria,DZA,2007,0,0,0,226
Algeria,DZA,2008,0,0,0,283
Algeria,DZA,2009,0,0,0,342
Algeria,DZA,2010,0,91,0,173
Algeria,DZA,2011,0,1.811.875,0,378
Algeria,DZA,2012,0,26.723.014,0,389
Algeria,DZA,2013,0,286,0,99
Algeria,DZA,2014,0,0.06,1,193
Algeria,DZA,2015,0,58,19,145
Algeria,DZA,2016,0,245,19.052.055,72
Algeria,DZA,2017,0,504,19,56
Algeria,DZA,2018,0,603,0.01,117
Algeria,DZA,2019,0,615,0.01,152
Algeria,DZA,2020,0,685,77,496
Algeria,DZA,2021,0,664,105,93
Argentina,ARG,1965,0,0,0,12.251.163
Argentina,ARG,1966,0,0,0,12.409.302
Argentina,ARG,1967,0,0,0,12.706.977
Argentina,ARG,1968,0,0,0,14.976.745
Argentina,ARG,1969,0,0,0,13.432.558
Argentina,ARG,1970,5.624.185,0,0,15.571.272
Argentina,ARG,1971,5.899.074,0,0,15.461.483
Argentina,ARG,1972,7.602.739,0,0,15.026.463
Argentina,ARG,1973,5.997.025,0,0,29.974.296
Argentina,ARG,1974,6.100.323,0,0,4.994.663
Argentina,ARG,1975,63.990.325,0,0,51.947.746
Argentina,ARG,1976,60.962.547,0,0,5.014.902
Argentina,ARG,1977,64.003.065,0,0,57.667.804
Argentina,ARG,1978,6.397.281,0,0,77.466.183
Argentina,ARG,1979,9.498.376,0,0,10.656.913
Argentina,ARG,1980,9.901.763,0,0,15.140.881
Argentina,ARG,1981,8.701.801,0,0,14.684.794
Argentina,ARG,1982,1.149.734,0,0,17.592.196
Argentina,ARG,1983,15.497.561,0,0,1.841.851
Argentina,ARG,1984,11.498.845,0,0,19.877.867
Argentina,ARG,1985,12.000.641,0,0,20.653.124
Argentina,ARG,1986,123.990.245,0,0,21.030.247
Argentina,ARG,1987,10.598.629,0,0,21.912.518
Argentina,ARG,1988,12.296.129,0,0,15.259.144
Argentina,ARG,1989,10.600.155,0,0,13.187.393
Argentina,ARG,1990,13.302.182,0,0,17.713.175
Argentina,ARG,1991,1.310.081,0,0,15.869.253
Argentina,ARG,1992,12.998.593,0,0,1.916.509
Argentina,ARG,1993,9.599.508,0,0,23.768.307
Argentina,ARG,1994,99.004.395,0,0,27.286.676
Argentina,ARG,1995,119.016.126,0,0,26.503.681
Argentina,ARG,1996,22.302.064,0,9.618,22.471.685
Argentina,ARG,1997,17.875.852,0,14.592,27.924.665
Argentina,ARG,1998,20.689.325,17,32.541,26.475.504
Argentina,ARG,1999,26.199.996,26,34.781,21.396.791
Argentina,ARG,2000,3.860.283,36,34.758,28.575.241
Argentina,ARG,2001,36.299.825,43,49.361,36.580.173
Argentina,ARG,2002,5.299.802,47,73.405,35.778.835
Argentina,ARG,2003,88.059.855,65,77.954,33.800.575
Argentina,ARG,2004,86.751.235,7,72.446,30.462.402
Argentina,ARG,2005,9.164.998,81,7.171.966,34.216.137
Argentina,ARG,2006,1.046.309,9,6.964,38.015.213
Argentina,ARG,2007,10.708.514,1.089,61.593,3.122.015
Argentina,ARG,2008,12.059.801,1.437,4.195.108,31.199.696
Argentina,ARG,2009,11.889.358,76.084,36.831.528,34.618.187
Argentina,ARG,2010,14.423.598,8.589,25.351.606,3.335.991
Argentina,ARG,2011,14.191.314,1.614,2.659.055,3.118.693
Argentina,ARG,2012,1.484.553,8.172.967,369.862,291.644
Argentina,ARG,2013,16.066.635,15.074.079,45.335.487,32.771.378
Argentina,ARG,2014,1.482.859,15.944,619.491,32.416.695
Argentina,ARG,2015,1.517.351,14.683,593.335,3.233.747
Argentina,ARG,2016,11.388.094,14.273,547.359,29.752.789
Argentina,ARG,2017,13.890.371,16.417,611.567,31.594.284
Argentina,ARG,2018,15.898.329,10.813,1.412.743,32.278.667
Argentina,ARG,2019,16.499.021,79.969.794,49.959.664,27.504.503
Argentina,ARG,2020,2.264.699,1.344.358,9.410.639,23.669.312
Argentina,ARG,2021,21.038.966,21.955.633,12.937.551,19.597.536
Asia,,1965,0.1,0,0,14.290.587
Asia,,1966,122,0,0,14.904.556
Asia,,1967,173,0,0,1.392.507
Asia,,1968,179,0,0,15.478.128
Asia,,1969,178,0,0,16.068.423
Asia,,1970,40.870.398,0,0,16.448.134
Asia,,1971,39.761.102,0,0,17.992.075
Asia,,1972,42.359.102,0,0,18.607.146
Asia,,1973,450.998,0,0,17.298.293
Asia,,1974,514.547,0,0,19.701.353
Asia,,1975,598.507,0,0,21.223.686
Asia,,1976,528.553,0,0,21.830.035
Asia,,1977,752.774,0,0,21.444.467
Asia,,1978,967.644,0,0,22.585.852
Asia,,1979,1.881.672,0,0,24.419.711
Asia,,1980,327.229,0,0,26.164.688
Asia,,1981,5.158.717,0,0,279.014
Asia,,1982,13.786.909,0,0,2.763.654
Asia,,1983,15.969.758,0,0,2.890.298
Asia,,1984,17.504.143,0,0,28.970.355
Asia,,1985,18.650.616,0,0,3.432.253
Asia,,1986,1.950.979,0,0,34.583.762
Asia,,1987,19.839.085,0,0,35.831.186
Asia,,1988,21.396.158,0,0,4.117.138
Asia,,1989,23.113.253,0,0,42.120.538
Asia,,1990,18.881.407,4,33.323.232,4.441.206
Asia,,1991,19.272.646,4,12.300.091,44.901.508
Asia,,1992,19.529.099,15.500.001,22.078.313,45.227.505
Asia,,1993,19.343.426,28.500.002,3.098.508,50.267.566
Asia,,1994,2.293.912,36,578.078,4.988.318
Asia,,1995,27.571.014,49.510.103,11.145.912,53.850.226
Asia,,1996,28.013.805,725.606,9.768.788,5.349.226
Asia,,1997,31.614.063,116.365.455,11.958.565,5.328.262
Asia,,1998,33.696.926,16.731.885,14.579.804,5.648.095
Asia,,1999,3.697.982,24.566.661,2.029.756,55.017.346
Asia,,2000,40.588.943,38.173.443,2.382.639,5.666.794
Asia,,2001,41.515.842,5.543.564,32.005.217,61.166.364
Asia,,2002,42.871.227,77.081.144,34.702.802,6.335.691
Asia,,2003,44.736.835,10.533.706,4.594.285,65.835.077
Asia,,2004,47.316.742,1.390.835,8.149.257,7.754.693
Asia,,2005,52.971.306,17.684.904,10.250.758,8.035.207
Asia,,2006,56.996.235,21.937.077,16.057.991,8.843.695
Asia,,2007,6.323.911,2.631.334,21.330.153,92.837.085
Asia,,2008,7.115.207,31.911.235,32.621.487,10.534.241
Asia,,2009,800.869,41.230.693,50.676.037,10.233.779
Asia,,2010,9.183.977,5.857.667,7.796.537,11.786.938
Asia,,2011,10.099.215,10.344.753,11.011.321,11.933.677
Asia,,2012,10.971.559,15.574.323,14.408.229,13.507.999
Asia,,2013,12.181.989,292.343,18.499.315,14.588.453
Asia,,2014,14.066.154,59.336.422,21.104.466,15.928.458
Asia,,2015,16.337.277,91.492.004,24.093.576,16.594.976
Asia,,2016,16.646.243,13.828.072,3.121.903,17.236.475
Asia,,2017,1.947.894,21.776.898,39.091.745,17.687.732
Asia,,2018,23.283.195,31.058.658,4.656.706,18.097.231
Asia,,2019,2.606.604,39.175.977,51.410.986,19.345.533
Asia,,2020,28.571.262,4.676.714,5.788.373,19.807.616
Asia,,2021,33.635.724,57.965.894,78.560.724,19.380.249
Asia Pacific (BP),,1965,1.644,0,0,15.608.955
Asia Pacific (BP),,1966,1.643,0,0,16.231.183
Asia Pacific (BP),,1967,1.424,0,0,15.286.674
Asia Pacific (BP),,1968,1.577,0,0,16.824.911
Asia Pacific (BP),,1969,1.608,0,0,1.741.638
Asia Pacific (BP),,1970,1.776.704,0,0,180.71
Asia Pacific (BP),,1971,1.754.611,0,0,19.945.708
Asia Pacific (BP),,1972,1.785.591,0,0,20.511.601
Asia Pacific (BP),,1973,1.834.998,0,0,19.401.163
Asia Pacific (BP),,1974,28.156.047,0,0,2.179.046
Asia Pacific (BP),,1975,29.736.698,0,0,23.244.424
Asia Pacific (BP),,1976,2.9064,0,0,23.325.337
Asia Pacific (BP),,1977,2.941.779,0,0,22.703.831
Asia Pacific (BP),,1978,32.368.069,0,0,2.370.464
Asia Pacific (BP),,1979,4.032.256,0,0,25.698.187
Asia Pacific (BP),,1980,5.492.769,0,0,2.734.472
Asia Pacific (BP),,1981,73.913.007,0,0,28.972.968
Asia Pacific (BP),,1982,1.627.123,0,0,28.266.718
Asia Pacific (BP),,1983,18.387.142,0,0,29.934.137
Asia Pacific (BP),,1984,20.061.474,0,0,2.994.067
Asia Pacific (BP),,1985,21.110.823,0,0,32.004.462
Asia Pacific (BP),,1986,22.009.226,0,0,3.281.591
Asia Pacific (BP),,1987,22.329.086,0,0,3.268.913
Asia Pacific (BP),,1988,2.414.604,0,0,36.178.625
Asia Pacific (BP),,1989,26.438.787,0,0,38.804.352
Asia Pacific (BP),,1990,2.251.375,4,32.323.234,39.927.155
Asia Pacific (BP),,1991,22.994.274,945,12.200.091,41.052.426
Asia Pacific (BP),,1992,2.315.172,276,22.047.403,40.152.466
Asia Pacific (BP),,1993,23.097.511,431,31.183.666,44.028.693
Asia Pacific (BP),,1994,26.580.261,534,58.358.806,4.432.982
Asia Pacific (BP),,1995,31.112.776,706.601,11.216.013,48.343.442
Asia Pacific (BP),,1996,31.652.657,9.816.061,99.120.504,47.340.945
Asia Pacific (BP),,1997,35.280.697,14.701.545,121.395,47.589.465
Asia Pacific (BP),,1998,37.759.834,20.291.886,14.895.501,5.066.743
Asia Pacific (BP),,1999,41.455.635,2.862.666,20.532.491,50.024.295
Asia Pacific (BP),,2000,44.974.827,42.848.444,2.563.947,52.165.295
Asia Pacific (BP),,2001,455.645,60.850.644,35.174.093,5.704.633
Asia Pacific (BP),,2002,47.265.427,8.291.114,40.670.133,57.890.875
Asia Pacific (BP),,2003,4.953.167,11.165.706,53.408.756,5.943.545
Asia Pacific (BP),,2004,53.351.498,1.463.785,9.186.693,69.915.247
Asia Pacific (BP),,2005,6.051.645,18.525.405,12.019.194,7.279.608
Asia Pacific (BP),,2006,6.484.644,2.291.108,18.569.807,8.016.983
Asia Pacific (BP),,2007,7.150.754,274.839,24.603.132,85.217.444
Asia Pacific (BP),,2008,7.942.048,333.027,36.079.895,9.977.784
Asia Pacific (BP),,2009,8.771.818,4.382.631,54.847.977,9.680.881
Asia Pacific (BP),,2010,99.808.716,6.738.752,81.484.215,10.976.714
Asia Pacific (BP),,2011,1.092.485,12.163.278,11.355.109,11.178.053
Asia Pacific (BP),,2012,118.289.406,17.553.854,14.772.359,12.619.498
Asia Pacific (BP),,2013,13.023.392,32.382.584,18.847.214,1.369.885
Asia Pacific (BP),,2014,14.875.612,62.967.415,21.427.269,15.234.308
Asia Pacific (BP),,2015,17.102.686,95.624.725,24.305.782,15.668.795
Asia Pacific (BP),,2016,17.141.855,1.418.077,3.111.879,16.287.206
Asia Pacific (BP),,2017,197.789,22.017.581,38.715.164,16.738.356
Asia Pacific (BP),,2018,23.380.719,30.959.854,46.209.122,17.272.189
Asia Pacific (BP),,2019,2.590.397,39.025.864,51.161.475,17.910.603
Asia Pacific (BP),,2020,28.186.713,4.666.904,57.512.225,18.628.567
Asia Pacific (BP),,2021,32.944.208,581.505,779.175,18.516.252
Australia,AUS,1965,296,0,0,7.689.756
Australia,AUS,1966,284,0,0,73.450.427
Australia,AUS,1967,0.29,0,0,76.057.873
Australia,AUS,1968,282,0,0,79.505.005
Australia,AUS,1969,281,0,0,8.684.121
Australia,AUS,1970,261,0,0,10.170.687
Australia,AUS,1971,263,0,0,11.507.442
Australia,AUS,1972,0.28,0,0,11.553.314
Australia,AUS,1973,338,0,0,12.285.839
Australia,AUS,1974,429,0,0,1.387.392
Australia,AUS,1975,489,0,0,14.887.801
Australia,AUS,1976,484,0,0,14.153.859
Australia,AUS,1977,429,0,0,1.354.395
Australia,AUS,1978,405,0,0,14.675.349
Australia,AUS,1979,418,0,0,14.246.056
Australia,AUS,1980,385,0,0,13.466.598
Australia,AUS,1981,404,0,0,138.663.435
Australia,AUS,1982,516,0,0,12.770.334
Australia,AUS,1983,431,0,0,12.123.648
Australia,AUS,1984,441,0,0,13.125.949
Australia,AUS,1985,456,0,0,13.940.511
Australia,AUS,1986,0.46,0,0,14.025.799
Australia,AUS,1987,0.47,0,0,13.613.796
Australia,AUS,1988,731,0,0,14.334.444
Australia,AUS,1989,0.81,0,0,14.253.669
Australia,AUS,1990,7.595,0,0,147.595
Australia,AUS,1991,7.195,545,0,156.535
Australia,AUS,1992,0.67,121,0,159.415
Australia,AUS,1993,0.67,146,2,16.387
Australia,AUS,1994,6.965,174,55,16.15
Australia,AUS,1995,8.255,2.115,7,15.631
Australia,AUS,1996,9.465,256,7,159.685
Australia,AUS,1997,997,3.065,75,159.525
Australia,AUS,1998,1.081,356,18,15.798
Australia,AUS,1999,1.1335,406,43,162.815
Australia,AUS,2000,8.895,4.675,134,164.665
Australia,AUS,2001,7.975,5.415,287,161.235
Australia,AUS,2002,1.2668,583,53.355,16.095
Australia,AUS,2003,1.6918,632,70.405,1.621.055
Australia,AUS,2004,281.525,7.295,795,1.568.665
Australia,AUS,2005,3.871,8.405,129.905,154.657
Australia,AUS,2006,3.9325,975,2.1621,149.451
Australia,AUS,2007,4.275,11.375,2.8521,1.304.895
Australia,AUS,2008,3.6961,1.392,345.845,1.181.515
Australia,AUS,2009,2.7868,29.024.202,443.775,1.264.205
Australia,AUS,2010,244.155,97.764.826,4.985,13.746
Australia,AUS,2011,257.395,20.445.466,6.432,19.572
Australia,AUS,2012,309.785,2.412,7.725,17.036
Australia,AUS,2013,333.165,3.8474,9.259,19.089
Australia,AUS,2014,3.546.362,4.952,9.777,14.484
Australia,AUS,2015,3.678.062,6.195.524,11.833.002,14.086.569
Australia,AUS,2016,3.627.513,74.397.755,13.039.705,17.629.421
Australia,AUS,2017,3.561.684,8.917.557,13.210.791,13.499.718
Australia,AUS,2018,3.588.149,12.332.544,16.261.955,1.731.133
Australia,AUS,2019,34.677.262,18.296.988,19.471.687,14.020.776
Australia,AUS,2020,34.104.242,2.384.266,22.606.892,14.420.926
Australia,AUS,2021,3.344.045,31.193.806,26.795.876,15.996.179
Austria,AUT,1965,0,0,0,16.083
Austria,AUT,1966,0,0,0,17.331
Austria,AUT,1967,0,0,0,17.698
Austria,AUT,1968,0,0,0,18.185
Austria,AUT,1969,0,0,0,16.718
Austria,AUT,1970,0,0,0,212.897
Austria,AUT,1971,0,0,0,168.201
Austria,AUT,1972,0,0,0,172.876
Austria,AUT,1973,0,0,0,192.092
Austria,AUT,1974,0,0,0,227.122
Austria,AUT,1975,0,0,0,237.952
Austria,AUT,1976,0,0,0,205.656
Austria,AUT,1977,0,0,0,249.208
Austria,AUT,1978,0,0,0,249.408
Austria,AUT,1979,0,0,0,280.968
Austria,AUT,1980,0,0,0,291.099
Austria,AUT,1981,0,0,0,308.473
Austria,AUT,1982,0,0,0,308.963
Austria,AUT,1983,0,0,0,306.063
Austria,AUT,1984,0,0,0,26.849.564
Austria,AUT,1985,943.327,0,0,30.775.146
Austria,AUT,1986,1.287.501,0,0,30.903.927
Austria,AUT,1987,905.816,0,0,35.387.993
Austria,AUT,1988,104.696,0,0,3.530.409
Austria,AUT,1989,110.445,0,0,3.508.243
Austria,AUT,1990,1.142.485,0,0,31.509
Austria,AUT,1991,1.225.832,0,0,314.434
Austria,AUT,1992,1.329.164,0,0,348.484
Austria,AUT,1993,1.361.111,1,0,36.705.555
Austria,AUT,1994,1.210.555,1,0,357.075
Austria,AUT,1995,1.857.221,1,1,37.067.223
Austria,AUT,1996,1.589.444,1,5,3.421.611
Austria,AUT,1997,1.711.389,2,0.02,36.105.278
Austria,AUT,1998,1.842.777,2,45,37.163.334
Austria,AUT,1999,15.969.118,2,51,4.069.912
Austria,AUT,2000,15.282.793,3,67,4.183.565
Austria,AUT,2001,1.667.812,5,172,40.455.482
Austria,AUT,2002,1.520.444,9,203,40.227
Austria,AUT,2003,1.711.921,15,366,33.214.993
Austria,AUT,2004,205.973,18,924,36.762.283
Austria,AUT,2005,24.401.429,21.018.375,13.312.768,3.709.514
Austria,AUT,2006,32.547.655,22.386.875,1.752.793,35.656.086
Austria,AUT,2007,40.791.254,24.238.374,2.037.185,3.705.445
Austria,AUT,2008,4.177.986,3.011.991,20.112.574,3.832.949
Austria,AUT,2009,42.947.526,4.891.428,19.540.402,40.896.305
Austria,AUT,2010,4.500.126,8.881.314,20.639.138,3.836.342
Austria,AUT,2011,4.572.212,17.406.996,19.362.364,3.423.717
Austria,AUT,2012,4.691.266,33.748.305,2.462.029,438.477
Austria,AUT,2013,47.102.733,625.974,31.532.316,4.201.672
Austria,AUT,2014,45.615.125,785.246,3.845.768,41.007.236
Austria,AUT,2015,466.263,937.098,4.840.343,37.156.864
Austria,AUT,2016,47.955.213,1.096.016,52.348.385,39.971.336
Austria,AUT,2017,4.933.439,1.268.971,65.715.113,3.829.375
Austria,AUT,2018,49.433.427,1.455.132,60.304.294,3.763.791
Austria,AUT,2019,46.682.663,1.702.093,74.500.766,4.082.597
Austria,AUT,2020,46.011.376,2.042.934,67.915.306,4.199.803
Austria,AUT,2021,43.925.185,21.249.056,6.751.889,42.851.505
Azerbaijan,AZE,1990,0,0,0,1.658
Azerbaijan,AZE,1991,0,0,0,1.7593
Azerbaijan,AZE,1992,0,0,0,1.7473
Azerbaijan,AZE,1993,0,0,0,2.426
Azerbaijan,AZE,1994,0,0,0,1.83
Azerbaijan,AZE,1995,0,0,0,1.556
Azerbaijan,AZE,1996,0,0,0,1.537
Azerbaijan,AZE,1997,0,0,0,1.712
Azerbaijan,AZE,1998,0,0,0,1.951
Azerbaijan,AZE,1999,0,0,0,1.506
Azerbaijan,AZE,2000,0,0,0,1.534
Azerbaijan,AZE,2001,0,0,0,1.301
Azerbaijan,AZE,2002,0,0,0,02.02
Azerbaijan,AZE,2003,0,0,0,2.47
Azerbaijan,AZE,2004,0,0,0,2.755
Azerbaijan,AZE,2005,0,0,0,3.1994
Azerbaijan,AZE,2006,0,0,0,2.518
Azerbaijan,AZE,2007,0,0,0,2.364
Azerbaijan,AZE,2008,0,0,0,2.232
Azerbaijan,AZE,2009,0,0,21,2.3084
Azerbaijan,AZE,2010,0,0,5,3.4463
Azerbaijan,AZE,2011,0,0,0,2.6758
Azerbaijan,AZE,2012,0,0,0,1.821
Azerbaijan,AZE,2013,67,8,8,1.4891
Azerbaijan,AZE,2014,87,29,23,1.2997
Azerbaijan,AZE,2015,909,46,46,1.6375
Azerbaijan,AZE,2016,8.725,353,228,1.9593
Azerbaijan,AZE,2017,8.515,372,221,1.7464
Azerbaijan,AZE,2018,811,3.926,827,1.768
Azerbaijan,AZE,2019,9.795,442,1.054,1.5648
Azerbaijan,AZE,2020,1.003,47,961,1.0695
Azerbaijan,AZE,2021,966,552,914,1.2773
Azerbaijan,AZE,1985,,,,13.125.618
Azerbaijan,AZE,1986,,,,8.043.308
Azerbaijan,AZE,1987,,,,8.043.308
Azerbaijan,AZE,1988,,,,6.982.652
Azerbaijan,AZE,1989,,,,6.982.652
Bangladesh,BGD,1971,0,0,0,175
Bangladesh,BGD,1972,0,0,0,175
Bangladesh,BGD,1973,0,0,0,331
Bangladesh,BGD,1974,0,0,0,243
Bangladesh,BGD,1975,0,0,0,436
Bangladesh,BGD,1976,0,0,0,494
Bangladesh,BGD,1977,0,0,0,437
Bangladesh,BGD,1978,0,0,0,506
Bangladesh,BGD,1979,0,0,0,587
Bangladesh,BGD,1980,0,0,0,583
Bangladesh,BGD,1981,0,0,0,625
Bangladesh,BGD,1982,0,0,0,523
Bangladesh,BGD,1983,0,0,0,662
Bangladesh,BGD,1984,0,0,0,897
Bangladesh,BGD,1985,0,0,0,739
Bangladesh,BGD,1986,0,0,0,0.45
Bangladesh,BGD,1987,0,0,0,517
Bangladesh,BGD,1988,0,0,0,675
Bangladesh,BGD,1989,0,0,0,0.92
Bangladesh,BGD,1990,0,0,0,884
Bangladesh,BGD,1991,0,0,0,838
Bangladesh,BGD,1992,0,0,0,796
Bangladesh,BGD,1993,0,0,0,608
Bangladesh,BGD,1994,0,0,0,847
